"State/Territory","Week_Ending_Date","Data_Collection_Period","State/Territory_WVAL","National_WVAL","Regional_WVAL","WVAL_Category","Coverage","date_updated"
"Maryland","2023-09-30","All Results",5.80574672712186,6.4467395551938,4.85572626742156,"High","Limited Coverage","2026-04-02T07:35:53.953Z"
"Mississippi","2024-12-28","All Results",5.17343372947439,8.92811845626967,6.13923040170576,"Moderate","Limited Coverage","2026-04-02T07:35:53.953Z"
"Mississippi","2026-03-07","All Results",6.53566345489476,2.76475357357912,3.0182943514553,"High","Limited Coverage","2026-04-02T07:35:53.953Z"
"Montana","2022-03-05","All Results",2.489647709647,1.62076104674245,1.69230746763443,"Low","Limited Coverage","2026-04-02T07:35:53.953Z"
"Iowa","2022-06-11","All Results",4.41246125401083,5.34624174625266,4.41246125401083,"Moderate","Limited Coverage","2026-04-02T07:35:53.953Z"
"Montana","2023-11-18","All Results",11.3962985664609,6.89642436639971,6.84325662474666,"Very High","Limited Coverage","2026-04-02T07:35:53.953Z"
"Oklahoma","2025-05-17","All Results",0.748598441630715,2.02710086558305,2.02801564926378,"Very Low","Limited Coverage","2026-04-02T07:35:53.953Z"
"Iowa","2023-10-21","All Results",4.70415728807808,5.5211059650827,5.32543990214889,"Moderate","Limited Coverage","2026-04-02T07:35:53.953Z"
"Arizona","2022-02-19","All Results",7.02509389888455,3.63367059988779,3.53636262285238,"High","Limited Coverage","2026-04-02T07:35:53.953Z"
"Iowa","2023-11-11","All Results",6.1449573581562,5.17829379491118,7.60234588459375,"High","Limited Coverage","2026-04-02T07:35:53.953Z"
"Maryland","2023-12-23","All Results",14.3221899336504,12.0897510480579,12.7028761037518,"Very High","Limited Coverage","2026-04-02T07:35:53.953Z"
"Mississippi","2024-01-27","All Results",29.6231499571833,9.61085403647318,12.6740979845414,"Very High","Limited Coverage","2026-04-02T07:35:53.953Z"
"Arizona","2022-01-29","All Results",28.911201549468,12.9615005655905,26.7082622618531,"Very High","Limited Coverage","2026-04-02T07:35:53.953Z"
"Florida","2022-01-29","All Results",9.72544290131293,12.9615005655905,12.6985196409481,"Very High","Limited Coverage","2026-04-02T07:35:53.953Z"
"Mississippi","2024-12-14","All Results",8.23405418954931,6.41723733761461,4.88920787500498,"Very High","Limited Coverage","2026-04-02T07:35:53.953Z"
"Mississippi","2024-10-05","All Results",4.80337370524166,5.55884199324882,3.72858982629271,"Moderate","Limited Coverage","2026-04-02T07:35:53.953Z"
"Montana","2024-01-27","All Results",6.18382666142323,9.61085403647318,8.87445698953931,"High","Limited Coverage","2026-04-02T07:35:53.953Z"
"Alabama","2022-07-30","All Results",12.6758326093502,9.52201287307261,9.53302820412422,"Very High","Limited Coverage","2026-04-02T07:35:53.953Z"
"Florida","2022-05-14","All Results",5.83554405269896,5.93613873527852,5.83554405269896,"High","Limited Coverage","2026-04-02T07:35:53.953Z"
"Mississippi","2024-07-20","All Results",21.9284234160161,9.1811811063365,10.8524078321794,"Very High","Limited Coverage","2026-04-02T07:35:53.953Z"
"Missouri","2026-03-28","45 Days",4.15669277696795,1.69761822042482,1.98838640547717,"Moderate","Limited Coverage","2026-04-02T07:35:53.953Z"
"Arizona","2022-02-26","All Results",6.89448282105267,1.99528591814253,2.03693525765845,"High","Limited Coverage","2026-04-02T07:35:53.953Z"
"Arizona","2022-04-23","All Results",1.65984677967842,2.9778606154381,2.17330158917243,"Very Low","Limited Coverage","2026-04-02T07:35:53.953Z"
"Mississippi","2026-02-21","6 Months",8.90070815764262,3.72128714310623,3.23273607407308,"Very High","Limited Coverage","2026-04-02T07:35:53.953Z"
"Mississippi","2026-03-07","45 Days",6.53566345489476,2.76475357357912,3.0182943514553,"High","Limited Coverage","2026-04-02T07:35:53.953Z"
"Montana","2022-03-19","All Results",4.49338070561259,1.15958494500817,1.00696291771506,"Moderate","Limited Coverage","2026-04-02T07:35:53.953Z"
"Arizona","2023-07-01","All Results",1.51218643308944,1.66823082785698,1.90849761609489,"Very Low","Limited Coverage","2026-04-02T07:35:53.953Z"
"Arkansas","2023-12-02","All Results",11.3495100116966,9.32976740231032,7.12771794030745,"Very High","Limited Coverage","2026-04-02T07:35:53.953Z"
"Arkansas","2022-07-02","All Results",7.67269686810943,8.93532964892631,8.70152034706682,"High","Limited Coverage","2026-04-02T07:35:53.953Z"
"Iowa","2022-07-02","All Results",5.28589947041677,8.93532964892631,9.1691389507858,"Moderate","Limited Coverage","2026-04-02T07:35:53.953Z"
"Mississippi","2022-10-08","All Results",1.73665247868771,3.31359623995712,2.49802989335924,"Very Low","Limited Coverage","2026-04-02T07:35:53.953Z"
"Oklahoma","2025-04-12","1 Year",3.98318194641387,2.85445083631007,3.44883123859362,"Moderate","Limited Coverage","2026-04-02T07:35:53.953Z"
"Oklahoma","2025-07-12","All Results",1.95744724818345,2.03533487225767,2.24727950534515,"Very Low","Limited Coverage","2026-04-02T07:35:53.953Z"
"Arkansas","2025-11-29","All Results",1.93508961319897,2.01030755168616,1.78813303309916,"Very Low","Limited Coverage","2026-04-02T07:35:53.953Z"
